id;language_id;title;slug;category_id;feature_image;summary;description;variations;addons;current_price;previous_price;rating;status;is_feature;created_at;updated_at;is_special;fidelity_score
58;179;Burger Poulet;Burger-Poulet;31;1640910805.jpg;Une poitrine de poulet entiere 100% grillee e la perfection et servie sur un pain frais legerement grille au choix : blanc ou multigrain.;;"[{""name"":""Burger"",""price"":0},{""name"":""Burger & Frites"",""price"":3},{""name"":""Burger & Patatoes"",""price"":3}]";"[{""name"":""Tout"",""price"":0},{""name"":""Bacon"",""price"":0},{""name"":""Laitue"",""price"":0},{""name"":""Tomate"",""price"":0},{""name"":""Oignon"",""price"":0},{""name"":""Cornichon"",""price"":0},{""name"":""Concombres"",""price"":0}]";24.00;29.00;0.00;1;1;31/12/2021 01:29;31/12/2021 02:40;0;5
59;179;Burger Original;Burger-Original;31;1640911936.jpg;Un burger fait de beuf bien juteux, 100 % pur boeuf, cuit sur le gril et servi sur un pain frais legerement grille. Le tout garni e votre goet.;;"[{""name"":""Burger"",""price"":0},{""name"":""Burger & Frites"",""price"":3},{""name"":""Burger & Patatoes"",""price"":3}]";"[{""name"":""Tout"",""price"":0},{""name"":""Tomate"",""price"":0},{""name"":""Oignon"",""price"":0},{""name"":""Cornichon"",""price"":0},{""name"":""Fromage Cheddar"",""price"":0}]";26.00;32.00;0.00;1;1;31/12/2021 01:52;31/12/2021 02:41;0;6
60;179;Burger poulet croustillant;Burger-poulet-croustillant;31;1640912035.jpg;Servi sur un pain frais legerement grille, notre poulet 100 % canadien enrobe d'une panure croustillante vous donnera ce petit goet croquant tant savoureux.;;"[{""name"":""Burger"",""price"":0},{""name"":""Burger & Frites"",""price"":3},{""name"":""Burger & Patatoes"",""price"":3}]";"[{""name"":""Tout"",""price"":0},{""name"":""Laitue"",""price"":0},{""name"":""Tomate"",""price"":0},{""name"":""Oignon"",""price"":0},{""name"":""Cornichon"",""price"":0}]";24.00;28.00;0.00;1;1;31/12/2021 01:53;31/12/2021 02:41;0;4
61;179;Burger Poulet Crispy;Burger-Poulet-Crispy;31;1640914806.jpg;Burger au poulet 100% canadien enrobe d'une panure croustillante et trempe dans notre sauce Buffalo parfaitement epicee, en format collation.;;"[{""name"":""Burger"",""price"":0},{""name"":""Burger & Frites"",""price"":3},{""name"":""Burger & Patatoes"",""price"":3}]";"[{""name"":""Tout"",""price"":0},{""name"":""Laitue"",""price"":0},{""name"":""Tomate"",""price"":0},{""name"":""Oignon"",""price"":0},{""name"":""Cornichon"",""price"":0}]";24.00;28.00;0.00;1;1;31/12/2021 02:40;31/12/2021 02:40;0;4
62;179;Margherita Pizza;Margherita-Pizza;27;1640915204.jpg;Sauce rouge, fromage fior di latte, basilic frais;;"[{""name"":""Petite"",""price"":0},{""name"":""Moyenne"",""price"":2},{""name"":""Large"",""price"":4}]";"[{""name"":""Ail cr\u00e9meux"",""price"":0},{""name"":""Marinana"",""price"":0},{""name"":""Ranch"",""price"":0}]";13.00;0.00;0.00;1;1;31/12/2021 02:44;31/12/2021 02:46;0;4
63;179;Pizza Vege;Pizza-Vege;27;1640915429.jpg;Sauce rouge, mozzarella. champignons, piments retis, artichauts, tomate cerise, demi-seche;;"[{""name"":""Petite"",""price"":0},{""name"":""Moyenne"",""price"":2},{""name"":""Large"",""price"":4}]";"[{""name"":""Ail cr\u00e9meux"",""price"":0},{""name"":""Marinara"",""price"":0},{""name"":""Ranch"",""price"":0}]";13.00;0.00;0.00;1;1;31/12/2021 02:50;31/12/2021 02:50;0;3
64;179;Pizza du chef;Pizza-du-chef;27;1640915513.jpg;Sauce rouge, mozzarella, pepperoni, champignons, et piments verts.;;"[{""name"":""Petite"",""price"":0},{""name"":""Moyenne"",""price"":2},{""name"":""Large"",""price"":4}]";"[{""name"":""Fromage"",""price"":0}]";18.00;22.00;0.00;1;1;31/12/2021 02:51;31/12/2021 02:52;0;5
65;179;Pizza Italienne;Pizza-Italienne;27;1640915602.jpg;Sauce rouge, mozzarella, piments jalapeno, saucisses, oignons rouges, olives noires.;;"[{""name"":""Petite"",""price"":0},{""name"":""Moyenne"",""price"":2},{""name"":""Large"",""price"":4}]";"[{""name"":""Ail"",""price"":0},{""name"":""Fromage"",""price"":0}]";16.00;18.00;0.00;1;1;31/12/2021 02:53;31/12/2021 02:53;0;4
66;179;Poulet saveur;Poulet-saveur;20;1640916125.jpg;Bol recouvert deune saveur de poulet grille de votre choix, servi e base de riz brun et ble concasse avec nos sauces Signature et Tzatziki et garni de tomate, concombre, oignon rouge, poivron, maes et fromage Monterey Jack. (36g Proteine);;"[{""name"":""Poulet BBQ Fusion (Sucr\u00e9)"",""price"":0},{""name"":""Poulet Volcano (Epic\u00e9)"",""price"":0},{""name"":""Poulet Hercule (Citron)"",""price"":0},{""name"":""Poulet Shisha (\u00c0 l'ail)"",""price"":0}]";"[{""name"":""Tout"",""price"":0},{""name"":""Laitue"",""price"":0},{""name"":""Epinard"",""price"":0},{""name"":""Olives"",""price"":0},{""name"":""Oignon"",""price"":0},{""name"":""Cornichon"",""price"":0}]";22.00;0.00;0.00;1;1;31/12/2021 03:02;31/12/2021 03:02;0;5
67;179;Poulet Flavour;Poulet-Flavour;20;1640916258.jpg;Bol recouvert des saveurs de poulet grille de votre choix, servi e base de riz brun et ble concasse avec nos sauces Signature et Tzatziki et garni de tomate, concombre, oignon rouge, poivron, maes et fromage Monterey Jack. (45g Proteine);;"[{""name"":""Poulet BBQ Fusion (Sucr\u00e9)"",""price"":0},{""name"":""Poulet Volcano (\u00c9pic\u00e9)"",""price"":0},{""name"":""Poulet Hercule (Citron)"",""price"":0},{""name"":""Poulet Shisha (\u00c0 l'ail)"",""price"":0}]";"[{""name"":""Tout"",""price"":0},{""name"":""Laitue"",""price"":0},{""name"":""\u00c9pinard"",""price"":0},{""name"":""Haricots Noirs"",""price"":0}]";21.00;0.00;0.00;1;1;31/12/2021 03:04;31/12/2021 03:04;0;5
